Year,Authors,Title,Source title,DOI
2020,Rêgo I.C.Q.; Vilarinho S.M.M.; Rodrigues C.K.F.; Correia P.V.D.A.R.; Junqueira J.L.C.; Oliveira L.B.,Oral and cranio-maxillofacial trauma in children and adolescents in an emergency setting at a Brazilian hospital,Dental Traumatology,10.1111/edt.12515
2020,Bittar C.K.; Júnior A.C.; da Costa V.S.D.A.; de Freitas Pacheco A.C.; Ricci R.L.,Epidemiological profile of motorcycle accident victims in university hospital,Acta Ortopedica Brasileira,10.1590/1413-785220202802230035
2020,"James S.L.; Lucchesi L.R.; Bisignano C.; Castle C.D.; Dingels Z.V.; Fox J.T.; Hamilton E.B.; Liu Z.; McCracken D.; Nixon M.R.; Sylte D.O.; Roberts N.L.S.; Adebayo O.M.; Aghamolaei T.; Alghnam S.A.; Aljunid S.M.; Almasi-Hashiani A.; Badawi A.; Behzadifar M.; Behzadifar M.; Bekru E.T.; Bennett D.A.; Chapman J.R.; Deribe K.; Adema B.D.; Fatahi Y.; Gelaw B.K.; Getahun E.A.; Hendrie D.; Henok A.; de Hidru H.; Hosseinzadeh M.; Hu G.; Jahani M.A.; Jakovljevic M.; Jalilian F.; Joseph N.; Karami M.; Kelbore A.G.; Khan M.N.; Kim Y.J.; Koul P.A.; La Vecchia C.; Linn S.; Majdzadeh R.; Mehndiratta M.M.; Memiah P.T.N.; Mengesha M.M.; Merie H.E.; Miller T.R.; Mirzaei-Alavijeh M.; Darwesh A.M.; Mezerji N.M.G.; Mohammadibakhsh R.; Moodley Y.; Moradi-Lakeh M.; Musa K.I.; Nascimento B.R.; Nikbakhsh R.; Nyasulu P.S.; Bali A.O.; Onwujekwe O.E.; Pati S.; Kalhori R.P.; Salehi F.; Shahabi S.; Shallo S.A.; Shamsizadeh M.; Sharafi Z.; Shukla S.R.; Sobhiyeh M.R.; Soriano J.B.; Sykes B.L.; Tabarés-Seisdedos R.; Tadesse D.B.B.; Tefera Y.M.; Tehrani-Banihashemi A.; Tlou B.; Topor-Madry R.; Wiangkham T.; Yaseri M.; Yaya S.; Yenesew M.A.; Younis M.Z.; Ziapour A.; Zodpey S.; Pigott D.M.; Reiner R.C., Jr.; Hay S.I.; Lopez A.D.; Mokdad A.H.",Morbidity and mortality from road injuries: results from the Global Burden of Disease Study 2017,Injury Prevention,10.1136/injuryprev-2019-043302
2020,Dunne J.; Quiñones-Ossa G.A.; Still E.G.; Suarez M.N.; González-Soto J.A.; Vera D.S.; Rubiano A.M.,The Epidemiology of Traumatic Brain Injury Due to Traffic Accidents in Latin America: A Narrative Review,Journal of Neurosciences in Rural Practice,10.1055/s-0040-1709363
2020,Rubiano A.M.; Vera D.S.; Montenegro J.H.; Carney N.; Clavijo A.; Carreño J.N.; Gutierrez O.; Mejia J.; Ciro J.D.; Barrios N.D.; Soto A.R.; Tejada P.A.; Zerpa M.C.; Gomez A.; Navarrete N.; Echeverry O.; Umaña M.; Restrepo C.M.; Castillo J.L.; Sanabria O.A.; Bravo M.P.; Gomez C.M.; Godoy D.A.; Orjuela G.D.; Arias A.A.; Echeverri R.A.; Paranos J.,"Recommendations of the Colombian Consensus Committee for the Management of Traumatic Brain Injury in Prehospital, Emergency Department, Surgery, and Intensive Care (Beyond One Option for Treatment of Traumatic Brain Injury: A Stratified Protocol [BOOTStraP])",Journal of Neurosciences in Rural Practice,10.1055/s-0040-1701370
2020,Bhalla K.; Gleason K.,"Effects of vehicle safety design on road traffic deaths, injuries, and public health burden in the Latin American region: a modelling study",The Lancet Global Health,10.1016/S2214-109X(20)30102-9
2020,Cariello A.N.; Perrin P.B.; Agudelo Y.R.; Olivera Plaza S.L.; Quijano-Martínez M.C.; Trujillo M.A.; Arango-Lasprilla J.C.,Predictors of longitudinal depression trajectories after traumatic brain injury in Latin America: A multi-site study,NeuroRehabilitation,10.3233/NRE-192972
2020,Zileli M.; Sharif S.; Fornari M.; Ramani P.; Jian F.; Fessler R.; Kim S.-H.; Takami T.; Shimokawa N.; Dechambenoit G.; Qureshi M.; Konovalov N.; Masini M.; Osorio-Fonseca E.; Sanchez J.A.S.; Bajamal A.H.; Parthiban J.; Sih I.M.; Alves Ó.L.; Oertel J.; Rasulic L.; Costa F.; Peul W.C.; Sharma K.; Eldin M.M.; Ismail N.J.; Esene I.N.; Hossain M.; Kalevski S.; Hausmann O.N.; Yaman O.; Arif S.; Brady Z.,History of spinal neurosurgery and spine societies,Neurospine,10.14245/ns.2040622.311
2020,Silva A.C.V.; De Oliveira Farias M.A.; Bem L.S.; Valença M.M.; De Azevedo Filho H.R.C.,Decompressive Craniectomy in Traumatic Brain Injury: An Institutional Experience of 131 Cases in Two Years,Neurotrauma Reports,10.1089/neur.2020.0007
2020,Tencza E.; Harrell A.J.; Sarangarm P.,Effect of tranexamic acid administration time on blood product use in urban trauma patients,American Journal of Health-System Pharmacy,10.1093/ajhp/zxaa074
2020,"Pereira R.M.A.; Barbosa O.C.; Basílio A.F.; Santana A.C.; De Paula D.M.; Marangon H., Jr.",Surgical decompression of the orbit due to frontal bone and roof of the orbit fractures - A case report,Annals of Maxillofacial Surgery,10.4103/ams.ams_87_20
2020,Munayco-Guillen F.; Muro-Mansilla P.; Velasco-Stoll J.; Zavala-Loayza J.A.; Camara-Reyes R.R.,Post-traumatic eyeball luxation; [Avulsion postraumatics de globo ocular],Revista Mexicana de Oftalmologia,10.24875/RMOE.M20000098
2019,Fernández L.M.G.; Ortiz-Velásquez L.A.; Casas-Arroyave F.D.,Management and perioperative outcomes of traumatic brain injury: retrospective study,Colombian Journal of Anesthesiology,10.1097/CJ9.0000000000000112
2017,Gómez-Restrepo C.; Naranjo-Lujan S.; Rondón M.; Acosta A.; Maldonado P.; Arango Villegas C.; Hurtado J.; Hernández J.C.; Angarita M.D.P.; Peña M.; Saavedra M.Á.; Quitian H.,Latin American Clinical Epidemiology Network Series – Paper 6: The influence of alcohol in traffic accidents and health care costs of it in Bogotá-Colombia,Journal of Clinical Epidemiology,10.1016/j.jclinepi.2016.10.003
2017,Rosselli D.; Carlier J.C.; Lozano M.A.; Murcia L.H.; Amaya A.F.; del Río-McMahon R.,Death from external causes in infants in Colombia 2005-2013; [Muertes de causa externa en menores de cinco años en Colombia 2005-2013],Revista Chilena de Pediatria,10.4067/S0370-41062017000400004
2016,Cleves D.; Gómez C.; Dávalos D.M.; García X.; Astudillo R.E.,"Pediatric trauma at a general hospital in Cali, Colombia",Journal of Pediatric Surgery,10.1016/j.jpedsurg.2016.01.008
